GO_term1	GO_term2	similarity
GO:0090038	GO:0090038	0.55
GO:0035624	GO:0035624	0.551
GO:0035358	GO:0035358	0.592
GO:2000446	GO:2000446	0.467
GO:0099527	GO:0099527	0.68
GO:0038124	GO:0038124	0.674
GO:0038007	GO:0038007	0.736
GO:0150060	GO:0150060	0.627
GO:0097646	GO:0097646	0.736
GO:0150059	GO:0150059	0.627
GO:0150061	GO:0150061	0.627
GO:0097647	GO:0097647	0.674
GO:1990408	GO:1990408	0.674
GO:1900450	GO:1900450	0.48
GO:2001260	GO:2001260	0.592
GO:0033143	GO:0033143	0.47
GO:0038192	GO:0038192	0.736
GO:0042700	GO:0042700	0.736
GO:0070376	GO:0070376	0.625
GO:0038027	GO:0038027	0.736
GO:2001044	GO:2001044	0.592
GO:0060159	GO:0060159	0.47
GO:1990262	GO:1990262	0.736
GO:0035329	GO:0035329	0.902
GO:0034143	GO:0034143	0.512
GO:0042921	GO:0042921	0.501
GO:0051058	GO:0051058	0.55
GO:1903432	GO:1903432	0.625
GO:0035567	GO:0035567	0.584
GO:0038135	GO:0038135	0.527
GO:0038130	GO:0038130	0.592
GO:0038138	GO:0038138	0.567
GO:0038094	GO:0038094	0.556
GO:0035426	GO:0035426	0.477
GO:0032925	GO:0032925	0.531
GO:0110135	GO:0110135	0.651
GO:0007223	GO:0007223	0.563
GO:0036324	GO:0036324	0.592
GO:0038093	GO:0038093	0.573
GO:1905289	GO:1905289	0.6
GO:0070375	GO:0070375	0.826
GO:0035330	GO:0035330	0.678
GO:0038190	GO:0038190	0.504
GO:0032488	GO:0032488	0.726
GO:0019933	GO:0019933	0.769
GO:0034154	GO:0034154	0.674
GO:1902068	GO:1902068	0.615
GO:0032484	GO:0032484	0.769
GO:1902045	GO:1902045	0.48
GO:0090520	GO:0090520	0.815
GO:0060390	GO:0060390	0.567
GO:0038154	GO:0038154	0.568
GO:0010751	GO:0010751	0.533
GO:0035665	GO:0035665	0.584
GO:0034158	GO:0034158	0.674
GO:1905291	GO:1905291	0.501
GO:2000350	GO:2000350	0.48
GO:0034151	GO:0034151	0.512
GO:0042313	GO:0042313	0.59
GO:0002221	GO:0002221	0.815
GO:2000638	GO:2000638	0.491
GO:0039585	GO:0039585	0.784
GO:0010750	GO:0010750	0.533
GO:0048861	GO:0048861	0.674
GO:0039530	GO:0039530	0.531
GO:0010752	GO:0010752	0.635
GO:1902044	GO:1902044	0.592
GO:0035359	GO:0035359	0.48
GO:0070424	GO:0070424	0.562
GO:0070120	GO:0070120	0.568
GO:2000586	GO:2000586	0.524
GO:0002767	GO:0002767	0.54
GO:0055097	GO:0055097	0.659
GO:1902070	GO:1902070	0.495
GO:0038185	GO:0038185	0.688
GO:0086023	GO:0086023	0.505
GO:0038184	GO:0038184	0.688
GO:0038158	GO:0038158	0.568
GO:1902847	GO:1902847	0.615
GO:1900746	GO:1900746	0.467
GO:0002155	GO:0002155	0.508
GO:0002769	GO:0002769	0.532
GO:2000272	GO:2000272	0.565
GO:0070884	GO:0070884	0.547
GO:0060300	GO:0060300	0.53
GO:0034139	GO:0034139	0.512
GO:0010749	GO:0010749	0.652
GO:0042772	GO:0042772	0.744
GO:2000474	GO:2000474	0.556
GO:0097411	GO:0097411	0.595
GO:0061311	GO:0061311	0.568
GO:0090101	GO:0090101	0.469
GO:0070302	GO:0070302	0.602
GO:2000124	GO:2000124	0.535
GO:0071926	GO:0071926	0.674
GO:0106070	GO:0106070	0.535
GO:0106056	GO:0106056	0.608
GO:0038035	GO:0038035	0.688
GO:0045751	GO:0045751	0.48
GO:0035021	GO:0035021	0.479
GO:0051394	GO:0051394	0.599
GO:0038009	GO:0038009	0.495
GO:0034124	GO:0034124	0.512
GO:0071550	GO:0071550	0.483
GO:0007604	GO:0007604	0.475
GO:0031635	GO:0031635	0.601
GO:1990410	GO:1990410	0.674
GO:0035581	GO:0035581	0.516
GO:0044338	GO:0044338	0.474
GO:0036337	GO:0036337	0.736
GO:0034146	GO:0034146	0.674
GO:0055096	GO:0055096	0.568
GO:0033598	GO:0033598	0.624
GO:0002062	GO:0002062	0.512
GO:0070365	GO:0070365	0.674
GO:0060509	GO:0060509	0.521
GO:0002064	GO:0002064	0.597
GO:0002067	GO:0002067	0.533
GO:0001837	GO:0001837	0.487
GO:0030879	GO:0030879	0.573
GO:0002070	GO:0002070	0.484
GO:0030216	GO:0030216	0.589
GO:0030856	GO:0030856	0.517
GO:0060008	GO:0060008	0.508
GO:0001949	GO:0001949	0.59
GO:0060837	GO:0060837	0.528
GO:0070268	GO:0070268	0.495
GO:0060487	GO:0060487	0.557
GO:0060575	GO:0060575	0.537
GO:0045446	GO:0045446	0.573
GO:0061017	GO:0061017	0.64
GO:0048513	GO:0048513	0.509
GO:0060743	GO:0060743	0.47
GO:0060563	GO:0060563	0.533
GO:0030859	GO:0030859	0.524
GO:0061180	GO:0061180	0.757
GO:0070306	GO:0070306	0.582
GO:0060528	GO:0060528	0.486
GO:0060603	GO:0060603	0.482
GO:0060529	GO:0060529	0.476
GO:0003382	GO:0003382	0.467
GO:0003334	GO:0003334	0.526
GO:1902691	GO:1902691	0.573
GO:0061030	GO:0061030	0.84
GO:0061377	GO:0061377	0.517
GO:0060129	GO:0060129	0.484
GO:0060486	GO:0060486	0.521
GO:0003310	GO:0003310	0.506
GO:0003309	GO:0003309	0.506
GO:0060510	GO:0060510	0.491
GO:0009913	GO:0009913	0.583
GO:0090425	GO:0090425	0.476
GO:0003311	GO:0003311	0.506
GO:0140074	GO:0140074	0.487
GO:0060836	GO:0060836	0.528
GO:0060691	GO:0060691	0.502
GO:0060742	GO:0060742	0.587
GO:0033599	GO:0033599	0.486
GO:0036305	GO:0036305	0.533
GO:0060128	GO:0060128	0.466
GO:0060485	GO:0060485	0.47
GO:0035315	GO:0035315	0.506
GO:0071895	GO:0071895	0.476
GO:0060591	GO:0060591	0.512
GO:0009957	GO:0009957	0.496
GO:0002066	GO:0002066	0.499
GO:0060956	GO:0060956	0.508
GO:0070307	GO:0070307	0.499
GO:0061101	GO:0061101	0.476
GO:0031424	GO:0031424	0.576
GO:0060689	GO:0060689	0.528
GO:0061141	GO:0061141	0.521
GO:0060126	GO:0060126	0.466
GO:0060611	GO:0060611	0.492
GO:0061104	GO:0061104	0.529
GO:0001885	GO:0001885	0.479
GO:0008065	GO:0008065	0.483
GO:0014031	GO:0014031	0.487
GO:0061005	GO:0061005	0.477
GO:0003326	GO:0003326	0.49
GO:0003329	GO:0003329	0.49
GO:0003327	GO:0003327	0.49
GO:0061102	GO:0061102	0.493
GO:0010829	GO:0010829	0.537
GO:1902268	GO:1902268	0.551
GO:0046325	GO:0046325	0.475
GO:1900924	GO:1900924	0.514
GO:0140214	GO:0140214	0.48
GO:0002037	GO:0002037	0.616
GO:0140212	GO:0140212	0.573
GO:2000192	GO:2000192	0.632
GO:0010747	GO:0010747	0.664
GO:0015911	GO:0015911	0.619
GO:2000191	GO:2000191	0.492
GO:0032304	GO:0032304	0.509
GO:0032369	GO:0032369	0.552
GO:0034766	GO:0034766	0.532
GO:0010360	GO:0010360	0.522
GO:1905533	GO:1905533	0.562
GO:1903573	GO:1903573	0.598
GO:2001234	GO:2001234	0.467
GO:0060392	GO:0060392	0.473
GO:0040037	GO:0040037	0.491
GO:1902236	GO:1902236	0.52
GO:0030948	GO:0030948	0.516
GO:1903896	GO:1903896	0.543
GO:1901185	GO:1901185	0.516
GO:1903899	GO:1903899	0.696
GO:0010642	GO:0010642	0.516
GO:0033144	GO:0033144	0.498
GO:0030178	GO:0030178	0.504
GO:0051387	GO:0051387	0.505
GO:0060160	GO:0060160	0.502
GO:1902072	GO:1902072	0.547
GO:1900747	GO:1900747	0.489
GO:0060302	GO:0060302	0.481
GO:1900103	GO:1900103	0.61
GO:1903895	GO:1903895	0.786
GO:1903891	GO:1903891	0.68
GO:1903894	GO:1903894	0.654
GO:1903897	GO:1903897	0.831
GO:0001960	GO:0001960	0.524
GO:0034122	GO:0034122	0.518
GO:1903893	GO:1903893	0.569
GO:1900102	GO:1900102	0.884
GO:0043569	GO:0043569	0.516
GO:1900011	GO:1900011	0.512
GO:1905897	GO:1905897	0.472
GO:1903892	GO:1903892	0.808
GO:0042552	GO:0042552	0.466
GO:0014044	GO:0014044	0.662
GO:0022010	GO:0022010	0.501
GO:0014037	GO:0014037	0.581
GO:0043217	GO:0043217	0.69
GO:0021782	GO:0021782	0.57
GO:0032286	GO:0032286	0.644
GO:0022011	GO:0022011	0.813
GO:0032290	GO:0032290	0.661
GO:0006417	GO:0006417	0.723
GO:0006446	GO:0006446	0.719
GO:2000767	GO:2000767	0.848
GO:0045727	GO:0045727	0.836
GO:0006414	GO:0006414	0.508
GO:0032543	GO:0032543	0.471
GO:0006412	GO:0006412	0.57
GO:0002181	GO:0002181	0.54
GO:1990145	GO:1990145	0.507
GO:2000766	GO:2000766	0.556
GO:0045947	GO:0045947	0.566
GO:0017148	GO:0017148	0.556
