GO_term1	GO_term2	similarity
GO:0035354	GO:0035354	0.782
GO:0035355	GO:0035355	0.782
GO:0012506	GO:0012506	0.691
GO:0005774	GO:0005774	0.772
GO:0044753	GO:0044753	0.816
GO:0043195	GO:0043195	0.92
GO:0044305	GO:0044305	0.915
GO:0044316	GO:0044316	0.915
GO:0005789	GO:0005789	0.698
GO:0014801	GO:0014801	0.81
GO:0034663	GO:0034663	0.8
GO:0032541	GO:0032541	0.699
GO:0016222	GO:0016222	0.721
GO:0017177	GO:0017177	0.8
GO:0070939	GO:0070939	0.751
GO:0043529	GO:0043529	0.8
GO:0014802	GO:0014802	0.727
GO:1990529	GO:1990529	0.721
GO:1990578	GO:1990578	0.718
GO:0033177	GO:0033177	0.731
GO:0033176	GO:0033176	0.702
GO:0016469	GO:0016469	0.851
GO:0033178	GO:0033178	0.731
GO:0000932	GO:0000932	0.905
GO:0071546	GO:0071546	0.768
GO:0010494	GO:0010494	0.905
GO:0033391	GO:0033391	0.905
GO:0071547	GO:0071547	0.768
GO:0043186	GO:0043186	0.814
GO:0071598	GO:0071598	0.726
GO:0060201	GO:0060201	0.703
GO:0060203	GO:0060203	0.703
GO:0070083	GO:0070083	0.703
GO:0031982	GO:0031982	0.691
GO:0031090	GO:0031090	0.788
GO:0022627	GO:0022627	0.771
GO:0022625	GO:0022625	0.771
GO:0070195	GO:0070195	0.788
GO:0002947	GO:0002947	0.788
GO:0035692	GO:0035692	0.788
GO:0002116	GO:0002116	0.788
GO:1990620	GO:1990620	0.788
GO:1902710	GO:1902710	0.788
GO:0030684	GO:0030684	0.788
GO:0005732	GO:0005732	0.788
GO:0070761	GO:0070761	0.788
GO:0031332	GO:0031332	0.788
